relation,topic,count,total,prop,count_global
Containing Very Numerous Hæmatozoa,23,1,1,1.0,1.0
Contains,0,199,382,0.520942,685.0
Contains A Dark Red Clot Completely Filling Its Cavity,3,1,1,1.0,1.0
Contains A Ferment Which Assists,0,1,1,1.0,1.0
Contains A Large Decolorized Clot Floating In Dark Fluid Blood,3,1,1,1.0,1.0
Contains A Large Element Of,0,1,1,1.0,1.0
Contains A Preponderance Of Unprotected,0,1,1,1.0,1.0
Contains A Small Amount Of Semi-digested Food,3,1,1,1.0,1.0
Contains A Small Quantity Of Dark Fluid Blood,3,1,1,1.0,1.0
Contains A Spongy Pith,14,1,1,1.0,1.0
Contains A Variable Number Of Small Granules Of Chromatin,0,1,1,1.0,1.0
Contains About,0,2,2,1.0,2.0
Contains About Feet Of Water,0,1,1,1.0,1.0
Contains About Per Cent Of The Total Fat,0,1,1,1.0,1.0
Contains About Per Cent Of The Total Fat In Dahi,0,1,1,1.0,1.0
Contains About Twice As Much As Globulin,0,1,1,1.0,1.0
Contains All The Organs Passing From,4,1,1,1.0,1.0
Contains An Active Material Useful For This Purpose,0,1,1,1.0,1.0
"Contains An Addition, Admixture Or Deficiency",0,1,1,1.0,1.0
Contains An Arborescent Haustorium And A Simple Tubular Haustorium In Parenchyma Cells,0,1,1,1.0,
Contains Anti-bacterial Substances,3,1,1,1.0,1.0
"Contains At Least Hundred Such Organisms, Probably Due To Some Defect In",0,1,1,1.0,1.0
Contains Bodies Similar To Those Which Occur In,53,1,1,1.0,1.0
Contains Considerably More,0,1,1,1.0,1.0
Contains Dark Semi-fluid Blood And Some Clots,3,1,1,1.0,1.0
Contains Decolourized Clot And Some Dark Fluid Blood Walls 8th Inch In,3,1,1,1.0,1.0
Contains Fat Globules Of A Larger Size Though Smaller In Number,0,1,1,1.0,1.0
Contains Fœcal Bacilli,0,1,1,1.0,1.0
Contains Glycerides,0,1,1,1.0,1.0
Contains Granular Casts,0,1,1,1.0,1.0
Contains Higher Concentration Of Ascorbic Acid Than,32,1,1,1.0,1.0
Contains Hæmoglobin,0,1,1,1.0,1.0
Contains Many Cells,0,1,1,1.0,1.0
Contains More,0,2,2,1.0,3.0
Contains More Organic Matter Than,0,1,1,1.0,1.0
Contains More Spices And Drugs,0,1,1,1.0,1.0
Contains Much Higher Amounts Of,13,1,1,1.0,1.0
Contains No Amino-nitrogen But Slight Amounts Of Creatinine-nitrogen,0,1,1,1.0,1.0
Contains No Hîmatozoa,0,3,3,1.0,3.0
Contains No Isolysin For Horse Rb,5,1,1,1.0,1.0
Contains Per Cent And Upwards Of,0,1,1,1.0,1.0
Contains Per Cent Or More Crude Fibre,0,1,1,1.0,1.0
Contains Some Feet Of Water,0,1,1,1.0,1.0
Contains Some Semi-digested Food,3,1,1,1.0,1.0
Contains Some Sensitizer For,0,2,2,1.0,2.0
Contains Teleutospores,53,1,1,1.0,1.0
Contains The Following Glycerides,0,1,1,1.0,1.0
Contains Too Many Fœcal Germs,0,1,1,1.0,1.0
"Contains Two Parts Of Per Cent Neutral Hydroxylamine Hydrochloride, Two Parts Of",0,3,3,1.0,3.0
Contaminating Their Food And Infected Vermin Leaving Them And Making For Anything,19,1,1,1.0,
Content,0,1,2,0.5,2.0
Content And The Carotene Values Of Ghee Prepared From The Above Butter,0,1,1,1.0,1.0
Content In,79,2,2,1.0,7.0
Content Is Either Low Or Has A Tendency Of Poor Assimilation,0,1,1,1.0,1.0
Content Is Either Low Or Has Tendency Of Poor Assimilation,0,1,1,1.0,1.0
Content Of,16,14,32,0.4375,49.0
Content Of Organs,3,1,1,1.0,1.0
Content Of Osteomalacia Bones Is Detinitely Low,79,1,1,1.0,1.0
Content Of The Feed,0,1,1,1.0,1.0
Content Of The Sample Fed To Calves Was About Per Cent Less,0,1,1,1.0,1.0
Content Varied From,0,1,1,1.0,1.0
Content Was Nearly Doubled By The Addition Of,0,1,1,1.0,1.0
Contents Depend On,0,2,2,1.0,2.0
Contents In Milk-fat Or Ghee,0,1,1,1.0,1.0
Contents Of,130,1,1,1.0,7.0
Contents Of All The Fodder Samples Sent From That Locality Were Extremely,0,1,1,1.0,1.0
Contiguous Surfaces Of The Bones Are Connected By Interposed Cartilaginous Tissue Running,80,1,1,1.0,
Contiguous Surfaces Of The Bones Are Connected By Interposed Cartilinous Tissue Running,80,1,1,1.0,
Contingencies,0,1,1,1.0,2.0
Contingencies Of Manufactures,12,2,2,1.0,2.0
"Continually Persist In Working Ponies, No Matter How Badly Galled",0,1,1,1.0,1.0
Continue In This Ensheathed Condition,38,1,1,1.0,1.0
Continue Infected,0,5,5,1.0,5.0
Continue On The Up Grade,0,1,1,1.0,1.0
Continue The Streams Become Swollen Torrent,13,2,2,1.0,2.0
Continue The Streams Begin To Flow,13,1,1,1.0,1.0
Continue To Be Enforced Or Not,0,1,1,1.0,1.0
Continue To Be Very Popular With,0,1,1,1.0,1.0
Continue To Do Good Work And Show A Considerable Profit,0,1,1,1.0,1.0
Continue To Emit A Very Foul Odour,0,1,1,1.0,1.0
Continue To Flourish,0,1,1,1.0,1.0
Continue To Give Very Satisfactory Results,0,1,1,1.0,1.0
Continued And Has Been Greatly Appreciated,0,1,1,1.0,1.0
Continued As Lecturer In Surgery,0,1,1,1.0,1.0
Continued At First Almost Regularly,13,1,1,1.0,1.0
Continued Beating For More Than Two Minutes After These Had Stopped,0,1,1,1.0,1.0
Continued For A Few Seconds,0,1,1,1.0,1.0
Continued For Any Length Of Time In Spite Of This Treatment,0,1,1,1.0,1.0
Continued Going Round In A Circle Falling Down At Intervals,0,1,1,1.0,2.0
Continued Good Throughout,0,1,1,1.0,1.0
Continued High,13,1,1,1.0,1.0
Continued His Investigations Of The Diseases,0,1,1,1.0,1.0
Continued In The State Of Alwar,0,1,1,1.0,1.0
Continued Its Useful Work In The Examination Of,0,1,1,1.0,1.0
Continued Present A Long Time,0,1,1,1.0,1.0
Continued Stipends To,2,3,3,1.0,3.0
Continued Supply Of Mental Journals,112,1,1,1.0,1.0
Continued The Stipend To,2,2,2,1.0,2.0
Continued Their Good Work In The Female Enclosure,0,1,1,1.0,1.0
Continued Their Useful Activities,0,1,1,1.0,1.0
Continued Their Working In The Same Stations As During,7,1,1,1.0,1.0
Continued Throughout July,122,1,1,1.0,1.0
"Continued Till July, And Again Broke Out In September, And Ceased In",0,1,1,1.0,1.0
Continued To Appear Frequently Over Wide Areas Of The Continent And Islands,0,1,1,1.0,1.0
Continued To Attend Outbreaks,0,1,1,1.0,1.0
Continued To Attend To The Outbreak Reports Of,0,1,1,1.0,1.0
Continued To Be General In Vizagapatam And The Neighbouring Country Until February,0,1,1,1.0,
Continued To Be In Good Order,0,1,1,1.0,1.0
Continued To Be Of A Passable Quality,0,1,1,1.0,1.0
Continued To Be Perfectly Lively And Seemingly Quite Unaffected Until The Night,15,1,1,1.0,1.0
Continued To Be Satisfactory,0,1,1,1.0,3.0
Continued To Be Under The Management Of,0,1,1,1.0,1.0
Continued To Beat For A Varying Period Of To Minutes,102,1,1,1.0,1.0
Continued To Carry Out Investigations Relating To,0,1,1,1.0,1.0
Continued To Discharge The Duties Of,0,1,1,1.0,1.0
Continued To Do The Duties Of Assistant Principal Until Mr. D Silva,0,1,1,1.0,1.0
Continued To Enjoy,0,1,1,1.0,1.0
Continued To Form The Majority Of The Cases,0,1,1,1.0,1.0
"Continued To Function Satisfactorily Except For The Ones At Bellary, Kurnool And",0,1,1,1.0,1.0
Continued To Give Satisfactory Results In Maintaining The Potency Of Seed Lymph,0,1,1,1.0,1.0
"Continued To Give Trouble, Especially In The Kyonpyaw Township",0,1,1,1.0,1.0
Continued To Have A Private Wholetime,0,1,1,1.0,1.0
Continued To Have Sporadic Cases,0,1,1,1.0,1.0
Continued To Hold Charge Of,0,3,4,0.75,4.0
Continued To Inspect The Horses Arriving At The Ports Of Cocanada And,0,1,1,1.0,1.0
Continued To Issue,0,1,1,1.0,1.0
"Continued To Linger In Udaipur City From The Previous Year, Cases And",0,1,1,1.0,1.0
Continued To Live With Him,59,1,1,1.0,1.0
Continued To Maintain Scholars,2,8,8,1.0,8.0
Continued To Occur Sporadically,13,1,1,1.0,1.0
Continued To Pay Particular Attention To,0,1,1,1.0,1.0
Continued To Perform His Duties Energetically And Attended A Large Number Of,0,1,1,1.0,1.0
Continued To Play The Same Role As Before,0,1,1,1.0,1.0
Continued To Preach On Sundays And On Festival Days To The Well,0,1,1,1.0,1.0
"Continued To Prevail In The Town Till The St Or Nd, When",0,1,1,1.0,
Continued To Prevail Up To,17,1,1,1.0,1.0
Continued To Rage Until August When The Disease Finally Disappeared,0,1,1,1.0,1.0
Continued To Show Infective Larvæ Everyday Thereafter,84,1,1,1.0,1.0
Continued To Spread In,0,1,1,1.0,1.0
Continued To Work As,0,3,3,1.0,3.0
Continued To Work As An Assistant Marketing Officer Of Live Stock Under,0,1,1,1.0,1.0
Continued To Work As An Assstant Marketing Officer Of Ltres Tock Under,0,1,1,1.0,1.0
Continued To Work As Manager Of The College Throughout The Year,0,1,1,1.0,1.0
Continued To Yield,0,1,1,1.0,1.0
Continued Unconscious,0,1,1,1.0,1.0
Continued Under Treatment Until,0,1,1,1.0,1.0
Continued Up To St March,0,1,1,1.0,
Continued Very Prevalent And Violent,0,1,1,1.0,1.0
Continued Work Upon Problems Of,0,1,1,1.0,1.0
Continues Ample And Of Good Quality,0,1,1,1.0,1.0
"Continues Brighter; The Conjunctival Membranes Are Free From Petechise, But There Is",0,1,1,1.0,
Continues Day After Day,0,1,1,1.0,1.0
Continues Dull,0,1,1,1.0,1.0
"Continues Dull, But The Appetite Is Good",0,1,1,1.0,1.0
Continues Good,0,3,3,1.0,3.0
Continues High,0,2,2,1.0,2.0
Continues In The Same State But There Is Still No Tenderness On,108,1,1,1.0,1.0
Continues To Be Bad As A Result Of Mixing,0,1,1,1.0,1.0
Continues To Be Frequently Found Of Great Service,0,1,1,1.0,1.0
Continues To Be Good,6,1,1,1.0,1.0
Continues To Be Remarkably Pure,0,1,1,1.0,1.0
Continues To Be Trenched Outside The Mental Hospital On The Newly Acquired,0,1,1,1.0,1.0
Continues To Be Useful For Rest And Treatment,0,1,1,1.0,1.0
Continues To Be Very Great Showing That The Career Is One That,0,1,1,1.0,1.0
Continues To Increase Very Gradually,108,1,1,1.0,1.0
Continues To Increase Year By Year,0,1,1,1.0,1.0
Continues To Rank High As Regards Purity,0,1,1,1.0,1.0
Continues To Visit,0,1,1,1.0,1.0
Continues To Walk About,0,1,1,1.0,1.0
Continues Unexceptionable In Quality,0,1,1,1.0,1.0
Continues Very High,28,1,1,1.0,1.0
Continuous,28,1,1,1.0,1.0
Continuous Discharge Of Gas Occurs From The Axial Extremity,6,1,1,1.0,1.0
Continuous With,3,1,1,1.0,1.0
Continuous With The Hæmatocœle Of The Labium And Through It With That,4,1,1,1.0,1.0
Contract,0,3,4,0.75,5.0
Contract Brucellosis,92,1,1,1.0,1.0
Contract Habit Of,0,1,1,1.0,1.0
Contract The Bad Habit By Associating With The Vicious,0,1,1,1.0,1.0
Contract The Disease By Remaining With Her Husband After He Had The,59,1,1,1.0,1.0
Contract Their Diseases From Unregistered Women,8,1,1,1.0,1.0
Contract With,31,1,1,1.0,1.0
Contracted,0,12,16,0.75,29.0
Contracted At,35,6,10,0.6,16.0
Contracted At Mehidpur,0,1,1,1.0,1.0
Contracted At Religious Festival,0,1,1,1.0,1.0
Contracted Before Admission,106,1,1,1.0,3.0
Contracted By,0,2,5,0.4,10.0
Contracted By Hounds,44,1,1,1.0,1.0
Contracted By Orderlies,0,1,1,1.0,1.0
Contracted By Swallowing Particular Germs,0,2,2,1.0,2.0
Contracted By The Soldiers Whilst Living At Chakra Ta During The Year,8,1,1,1.0,1.0
Contracted By Troops On The Line Of March,0,1,1,1.0,1.0
Contracted Disease At Naini Tal,8,1,1,1.0,1.0
Contracted Disease From Unregistered Women,35,1,1,1.0,1.0
Contracted During The March From The Plains To Chakra Ta,8,1,1,1.0,1.0
Contracted Elsewhere But Treated At,40,1,1,1.0,1.0
Contracted From,8,16,18,0.888889,30.0
Contracted From Unregistered Women,8,2,3,0.666667,4.0
"Contracted From Unregistered Women, Who Lurk In The Vicinity Of Cantonments After",8,1,1,1.0,
Contracted From Women Who Are Not On The Register And Who Keep,8,1,1,1.0,1.0
Contracted In,0,2,5,0.4,6.0
Contracted In Agra,0,1,1,1.0,1.0
Contracted In Nature By,0,1,1,1.0,1.0
Contracted In The City Of Jubbulpore,0,1,1,1.0,1.0
Contracted Infection From Meat,0,1,1,1.0,1.0
Contracted Kala Azar,0,1,1,1.0,1.0
Contracted Less Disease,0,1,1,1.0,1.0
Contracted Near,8,1,1,1.0,1.0
Contracted On,40,1,1,1.0,2.0
Contracted On The Line Of March,0,1,1,1.0,2.0
Contracted On The March,0,1,1,1.0,1.0
Contracted On The March Or At Halting Stations,40,1,1,1.0,1.0
Contracted On The March Prior To Arrival At Chakra Ta,8,1,1,1.0,1.0
Contracted On The March To Jha Nsi,8,1,1,1.0,1.0
Contracted Out Of,35,1,1,1.0,1.0
Contracted The Disease By Playing About In The Infected Locality,1,1,1,1.0,1.0
Contracted The Disease Prior To Leaving Hospital,0,1,1,1.0,1.0
Contracted The Habit As A Boy,1,1,1,1.0,1.0
Contracted Through,19,1,1,1.0,1.0
"Contracted, But Also Contains A Small Amount Of Dark Clot",3,1,1,1.0,1.0
Contracting,0,1,1,1.0,1.0
Contraction Induced,0,1,1,1.0,1.0
"Contraction Of The Retractor Muscles Of The Furca, Acting Through Traction On",4,1,1,1.0,1.0
Contraction Upon,76,1,1,1.0,1.0
Contractors For Printing To,7,1,1,1.0,1.0
Contracts,0,1,1,1.0,3.0
Contracts The Pupil,4,1,1,1.0,1.0
Contracts Were Placed For The Supply To,37,2,2,1.0,2.0
Contrary To The General Impression That Shearing Indian Sheep Once A Year,0,27,34,0.794118,64.0
Contrast Between Inanimate State And Animation,7,1,1,1.0,1.0
Contrasted To Those Which Yield A Good Quantity,0,1,1,1.0,1.0
Contrasted With Dampness,58,1,1,1.0,1.0
Contrasts Favourably With,2,1,1,1.0,2.0
Contrasts Very Favourably With That Done In Municipalities,0,1,1,1.0,1.0
Contribute One Case Each,29,4,4,1.0,4.0
Contribute To,0,1,1,1.0,2.0
Contribute To Crimes,0,1,1,1.0,1.0
Contribute To Development And Propagation Of,0,1,1,1.0,1.0
Contribute To Infestation,24,1,1,1.0,1.0
Contribute To The Number Of,0,1,1,1.0,1.0
Contribute Towards,0,1,1,1.0,1.0
Contributed,0,4,4,1.0,10.0
Contributed And The 4th Regiment N. I,0,1,1,1.0,1.0
Contributed By,0,7,7,1.0,7.0
Contributed Rs. Less Than In,0,1,1,1.0,1.0
Contributed The Largest Number Of,0,1,2,0.5,2.0
Contributed The Largest Share Of,0,1,1,1.0,1.0
Contributed The Next Highest Number,0,1,1,1.0,1.0
Contributed Their Share,0,2,2,1.0,2.0
Contributed To,0,4,7,0.571429,12.0
Contributed To By,0,2,2,1.0,2.0
"Contributed To By Overcrowding At Festivals, Passage Of Pilgrims, And Passing Of",0,1,1,1.0,1.0
Contributed To The Well-being Of,0,1,1,1.0,1.0
Contributed Towards,5,1,2,0.5,3.0
Contributed Towards The Attainment Of Progress,0,1,1,1.0,1.0
Contributes A Large Share Of The Number Of Days In Hospital,0,1,1,1.0,1.0
Contributes The Pay Of Hospital Assistants And Compounders,11,1,1,1.0,1.0
Contributes The Principal Part Of The Articular Surface For The Humerus,6,1,1,1.0,1.0
Contributes To,17,3,6,0.5,10.0
Contributes To Conserve,0,1,1,1.0,1.0
Contributes To Immunity From Dengue,0,1,1,1.0,1.0
Contributes To The Propagation Of Snails,0,1,1,1.0,1.0
Contributes To The Spread Of Infection In Neighbouring Localities,0,1,1,1.0,1.0
Contributes Towards,16,1,1,1.0,1.0
Contributes Towards The Pay And Allowances Of,0,1,1,1.0,1.0
Contributing,0,1,1,1.0,1.0
Contributing A Ratio Of,26,1,1,1.0,1.0
Contributing Cause To More Severe Manifestation Of Affection Initially Due To Fluorine,79,1,1,1.0,
Contributing Largely To,0,1,1,1.0,1.0
Contributing More Than,16,1,1,1.0,1.0
Contributing To,0,1,1,1.0,2.0
Contributing Towards,0,1,1,1.0,1.0
Controiled By,10,1,1,1.0,1.0
Control And Eradication Of The Scourge,9,1,1,1.0,1.0
Control By Local Governments,0,1,1,1.0,1.0
Control In India,24,1,1,1.0,1.0
Control In Trial,31,2,2,1.0,2.0
Control Of,0,71,107,0.663551,200.0
Control Of Livestock Improvement,92,1,1,1.0,1.0
Control Of Operations Made Duty Of,0,1,1,1.0,1.0
"Control Of, By Iodine",0,1,1,1.0,1.0
"Controlling Influence Of The Vagus On The Heart Is A Safeguard, And",0,1,1,1.0,1.0
Controls,0,2,4,0.5,7.0
Conversion Into Soluble Oxalates By Metathesis,0,1,1,1.0,1.0
Converted From Former Quarters Of Assistant Principal,0,1,1,1.0,1.0
Converted Into A General Female Hospital,0,1,1,1.0,1.0
Converted Into A Permanent Hospital,11,1,1,1.0,1.0
Converted Into A Sort Of Channel By A Thick Fringe Of Very,0,1,1,1.0,1.0
Converted Into Humin Like Substances Containing Nitrogen But Not Digestible In The,0,1,1,1.0,
Converted Into Notified Area From,0,2,2,1.0,2.0
Converted Into Poudrette,0,1,1,1.0,1.0
Converted Into Solid Cakes,31,1,1,1.0,1.0
Converted Into Stationary Ones,11,1,1,1.0,1.0
Converted To Islam In The Th Century,0,1,1,1.0,1.0
Converts Carotene To Vitamin A Is Much Less In The Guernsey Cow,130,1,1,1.0,1.0
Converts Ergosterol Into,0,1,1,1.0,1.0
Converts Whole Communities Into Reservoirs Of Infection,0,1,1,1.0,1.0
Convey Their Loads Up Hill To,63,1,1,1.0,1.0
Convey To Them An Expression Of His Recognition,0,1,1,1.0,1.0
Conveyed Infection,0,1,1,1.0,1.0
Convulsive Movements,0,1,1,1.0,1.0
Cooked During Rest,0,1,1,1.0,1.0
Cooked In Curries,0,1,1,1.0,1.0
Cooked In Water,0,1,1,1.0,1.0
Cooking In Open Vats Was Advocated,0,1,1,1.0,1.0
Cooks At Rs. And At Rs,17,1,1,1.0,1.0
Cooks For,49,1,1,1.0,1.0
Coolie Can Move About From Place To Place Under,0,1,1,1.0,1.0
Coolies And Sweeper Expenditure,0,1,1,1.0,1.0
Cools And Strengthens The System In Hot Seasons,0,1,1,1.0,1.0
Cools The Blood And Refreshes Them; It Produces Slight Intoxication And Induces,0,1,1,1.0,1.0
Copolymerize,16,1,1,1.0,1.0
Cored,0,1,1,1.0,1.0
Coreference,71,5,7,0.714286,14.0
Coreference Of,3,1,1,1.0,3.0
Corporation Of Rangoon,0,25,62,0.403226,97.0
Corpuscles,0,1,1,1.0,1.0
Corpuscles .. Nil,3,1,1,1.0,1.0
Correct And In Good Condition,11,1,1,1.0,1.0
Corrected By The Addition Of,0,1,1,1.0,1.0
Corrected To,62,1,1,1.0,2.0
Correction Applied To,0,1,1,1.0,1.0
Correction Factor Was Established By The Careful Examination Of Some Hundreds Of,0,1,1,1.0,1.0
Correlate With,0,1,1,1.0,2.0
Correlated To,16,2,2,1.0,2.0
Correlated To The Order Of,16,4,4,1.0,4.0
Correlated With,0,6,14,0.428571,25.0
Correlated With Atmospheric Conditions,0,1,1,1.0,1.0
Correlated With Duration Of Motility,0,1,1,1.0,1.0
Correlates With,0,1,2,0.5,5.0
Correlates With Amount Of,0,1,1,1.0,1.0
Correlates With Tintometric Readings,3,1,1,1.0,1.0
Correlation,0,1,1,1.0,1.0
Correlation Became Not Significant With,28,1,1,1.0,1.0
Correlation Between,0,11,11,1.0,11.0
Correlation Coefficient,28,3,3,1.0,3.0
Correlation Coefficient Of,16,2,2,1.0,2.0
Correlation Coefficient Of Gestation Length And Birth Weight Was Low () But,0,1,1,1.0,1.0
Correlation Coefficients Of,16,2,2,1.0,2.0
Correlation Of Between,16,1,1,1.0,1.0
Correlation With,13,3,5,0.6,7.0
Correlations Amongst,98,6,6,1.0,6.0
Correspond Closely With That Of Man,19,1,1,1.0,1.0
Correspond To,0,1,1,1.0,6.0
Correspond With,0,4,4,1.0,5.0
Corresponded To The Degree Of Infectivity Of,19,1,1,1.0,1.0
"Corresponded With The Low Value For Dry Matter But, Thereafter, The Percentage",0,1,1,1.0,1.0
Correspondence,0,1,1,1.0,1.0
Correspondence About,0,1,1,1.0,1.0
Correspondence Should Be Addressed To,0,1,1,1.0,1.0
Correspondence With,0,2,2,1.0,2.0
Corresponding Death-rates Were .per Mille In The Towns And .per,0,1,1,1.0,
Corresponding Depression And A Gradual Decrease Of Mental And Sexual Powers,43,1,1,1.0,1.0
Corresponding Iodine Absorption,31,1,1,1.0,1.0
Corresponding To,0,2,2,1.0,4.0
Corresponding With,17,1,1,1.0,1.0
Corresponding With The Bases Of The Spore-cells,14,1,1,1.0,1.0
Corresponds Closely With That Of,0,1,1,1.0,1.0
Corresponds In Point Of Time To The Sporulation Of,0,1,1,1.0,1.0
Corresponds To,14,1,2,0.5,6.0
Corresponds To The Hinge Of,4,1,1,1.0,1.0
Corresponds With,0,1,2,0.5,3.0
Corresponds With The Intensity Of The Disease,0,1,1,1.0,1.0
Cortex Was Slightly Congested,33,1,1,1.0,1.0
Cortical Portion Condition,3,1,1,1.0,1.0
Cost For Each Successful Case In Varied From As. Each,78,4,4,1.0,4.0
Cost For Each Successful Case In Varied From As. In,78,5,5,1.0,5.0
Cost For Each Successful Case In Varied From Pies In,78,1,1,1.0,1.0
Cost For Each Vaccination,69,1,1,1.0,1.0
Cost For Establishment Alone Nearly Double The Sum Which Has Covered His,2,1,1,1.0,1.0
Cost Is Provided For In Burma S Figures But Not In Bengal,26,1,1,1.0,1.0
Cost Less Than,69,1,1,1.0,2.0
Cost Of,0,126,234,0.538462,424.0
Cost Of Bedding And Clothing And The Burning And Burying Charges Exhibit,39,4,4,1.0,4.0
Cost Of Clothing Was Also Very Large At Nagpur,2,1,1,1.0,1.0
Cost Of Dieting Each In-door Patient,0,110,120,0.916667,194.0
Cost Of Dieting Having Been About One Rupee Per Head Less,26,1,1,1.0,1.0
Cost Of Each Institution Is Not Separately Shown,11,1,1,1.0,1.0
Cost Of Each Successful Case,69,3,5,0.6,6.0
Cost Of Each Successful Case Has Been,7,1,1,1.0,2.0
Cost Of Each Successful Case Varied From,69,2,2,1.0,2.0
Cost Of Each Successful Case Was,69,3,3,1.0,3.0
Cost Of Each Successful Operation,69,2,2,1.0,2.0
Cost Of Each Successful Vaccination,69,1,1,1.0,1.0
Cost Of Each Successful Vaccination Was One Anna And Nine Pies As,69,1,1,1.0,1.0
Cost Of Each Vaccination Appears To Be,69,1,1,1.0,1.0
Cost Of Feed And Keep,0,1,1,1.0,15.0
"Cost Of Feed, Keep, Attendants",0,1,1,1.0,1.0
Cost Of Feeding,71,1,1,1.0,2.0
Cost Of Maintenance,30,2,2,1.0,4.0
Cost Of Maintenance Was Rs,0,1,1,1.0,2.0
Cost Of Medicines And Instruments And Disinfectants,0,67,81,0.82716,135.0
Cost Of Only Rs.on The Purchase Of,5,1,1,1.0,
Cost Of Printed Forms And Stationery,135,1,1,1.0,1.0
Cost Of Provisioning Decreased In Madras,43,1,1,1.0,1.0
Cost Of Whole Vaccine Establishment From Years To,78,1,1,1.0,1.0
Cost Per Case Last Year,69,1,1,1.0,1.0
Cost Per Diem,0,1,1,1.0,1.0
Cost Per Head Against,0,1,1,1.0,1.0
Cost Per Head Higher Than,101,1,1,1.0,2.0
Cost Per Head Increased From Rs. In To Rs. Last,2,1,1,1.0,1.0
Cost Per Head Of Average Strength,30,2,3,0.666667,3.0
Cost Per Mensem Is Rs.,55,1,1,1.0,
Cost Per Successful Case,69,2,2,1.0,2.0
Cost Per Successful Operation Was,38,1,2,0.5,3.0
"Cost Remained, The Same As In",11,1,1,1.0,1.0
Cost This Season,69,1,1,1.0,1.0
Cost To Government Of Maintaining The College,2,1,1,1.0,1.0
Cost Under This Head Is Now Adjusted In Column V Under The,2,1,1,1.0,1.0
Cost Varied From Annas To Annas,69,1,1,1.0,1.0
Cost Was Rs. Against Rs,11,1,1,1.0,1.0
Costs About Rs. In Italy,0,1,1,1.0,1.0
Costs Less Than,0,1,1,1.0,2.0
Costs Less Than A Rupee A Week For Each Sick European,0,1,1,1.0,1.0
Costs Per Head Per Diem,17,1,1,1.0,1.0
Costs Rs. Per Mensem,77,1,1,1.0,1.0
Coughed Out,0,1,1,1.0,1.0
Coughed Up,0,1,1,1.0,1.0
Could Be Carried Out In,0,1,1,1.0,1.0
Could Be Combated By Anti-larval Measures,0,1,1,1.0,1.0
Could Be Cured In A Fortnight Or A Month,0,1,1,1.0,1.0
Could Be Demonstrated In The Supernatant Fluid,15,1,1,1.0,1.0
Could Be Detected In,0,2,3,0.666667,3.0
Could Be Evaded By Breaking The Railway By A Road Journey Across,63,1,1,1.0,1.0
Could Be Flexed Or Extended,6,1,1,1.0,1.0
"Could Be Found, Even Amongst The People Who Voluntarily Resided With The",9,1,1,1.0,1.0
Could Be Isolated From One Gram Of Earth,0,3,3,1.0,3.0
Could Be Lowered By Per Cent Without Detriment To The Condition Of,0,1,1,1.0,1.0
Could Be Moved By Train During The Hot Weather Months Without Serious,0,1,1,1.0,1.0
Could Be Omitted Without Much Detriment,0,1,1,1.0,1.0
Could Be Suggested,0,1,1,1.0,1.0
Could Be Supposed To Arise From The Latter Cause,50,1,1,1.0,1.0
Could Be Taken Up By The Local Bodies,0,1,1,1.0,1.0
Could Be Traced In Most Cases,9,1,1,1.0,1.0
Could Be Traced To,0,1,2,0.5,2.0
Could Be Transmitted Through The Agency Of,0,2,2,1.0,2.0
Could Do A Lot Of Work If They Had The Energy,0,1,1,1.0,1.0
Could Easily Be Detected,0,1,1,1.0,1.0
Could Have Been Carried From,0,1,1,1.0,1.0
Could Live For,0,1,1,1.0,1.0
Could Neutralise,15,1,2,0.5,2.0
Could Not Be Continued For More Than A Month,0,1,1,1.0,1.0
Could Not Be Controlled Due To The Faulty Layout Of The Design,0,1,1,1.0,1.0
Could Not Be Found Alive After,16,1,1,1.0,1.0
Could Not Be Freely Admitted Into The Farm,0,1,1,1.0,1.0
Could Not Be Grazed And Had To Be Stall-fed In Congested Corrals,0,1,1,1.0,1.0
Could Not Be Used In Very Hot Countries,0,1,1,1.0,1.0
Could Not Establish Itself Unless The Above Conditions Were Present,0,1,1,1.0,1.0
Could Not Have Been Of A Very Nutritive Character Due To,0,1,1,1.0,1.0
"Could Not Take The Place Of Segregation, Disinfection Of Houses, And Removal",0,1,1,1.0,1.0
Could Probably Be Expelled By Means Of Thymol,0,1,1,1.0,1.0
Could Retain No Food Except Milk Beaten Up With Eggs,0,1,1,1.0,1.0
Could Save,100,1,1,1.0,1.0
Could Show Normal Fat Rising Properties,0,1,1,1.0,1.0
Could Stupefy Persons,0,1,1,1.0,1.0
Could Sufficiently Explain An Increase In Diseases Of A Malarious Origin And,0,2,2,1.0,2.0
Could Sustain Life,0,2,2,1.0,2.0
Count,0,2,2,1.0,2.0
Count Both As Regards Total Colonies As Well As Fœtal Bacteria,0,1,1,1.0,1.0
Count Of,0,2,3,0.666667,5.0
Counted For,0,1,1,1.0,1.0
Counted In,0,5,5,1.0,6.0
Counted In Each Case,0,1,1,1.0,1.0
Counted On,0,15,15,1.0,15.0
Counted Per Cc,0,1,1,1.0,1.0
Counted Per Cc On,0,1,1,1.0,1.0
Counted Per Cc. On,0,2,2,1.0,2.0
Counteracts The Depressive And Enervating Effects,0,1,1,1.0,1.0
Counteracts The Evil Consequences Of Neglect,31,1,1,1.0,1.0
Countersigned By The Deputy Inspector General Of Hospitals,89,1,1,1.0,1.0
Countless Colonies In All Dilutions,0,1,1,1.0,1.0
Country Oz,31,1,1,1.0,1.0
