relation,topic,count,total,prop
Broke On The Th June,0,1,1,1.0
Broke Out Again In Arkonam Taluk In February The Cattle Disease Act,0,1,1,1.0
Broke Out Among The Young Male Stook At The Chowni Farm,155,1,1,1.0
Broke Out Among Them On The Th May,0,2,2,1.0
Broke Out Amongst The Mha Rs Of Choin Village,1,1,1,1.0
Broke Out Amongst The Pilgrims From Hadramaut In The South Of,0,1,1,1.0
Broke Out At Chalisgaon On Th April,0,1,1,1.0
"Broke Out At Kyeektaw, About Miles South-west Of Rangoon",0,1,1,1.0
Broke Out At Rawal Pindi On The Th July,0,1,1,1.0
Broke Out During The Year Under Review Were Promptly Brought Under Control,0,1,1,1.0
Broke Out Here On The Th June,0,1,1,1.0
Broke Out In A Severe Form At,0,1,1,1.0
Broke Out In A Thakore S Village,0,1,1,1.0
Broke Out In An Epidemic Form From The Nd January,0,1,1,1.0
Broke Out In An Epidemic Form In Kotah City On Th May,0,1,1,1.0
Broke Out In Bishenpore And Other Places Of The District,0,1,1,1.0
Broke Out In September,0,1,1,1.0
Broke Out In Severe Form In,0,5,5,1.0
Broke Out In The Southern Part Of The Nanguneri Taluk,0,1,1,1.0
Broke Out In The Station,10,1,1,1.0
Broke Out In The Town Of Barsi On Th April,0,1,1,1.0
Broke Out In The Villages Of Sangwi (koregaon Ta Luka) And Akhade,1,1,1,1.0
Broke Out In The Villages Of The Island Of Dhakan Shahbazpur In,0,1,1,1.0
Broke Out On Th April At Akola,0,1,1,1.0
Broke Out On Th April At Purantej,0,1,1,1.0
Broke Out On Th April In The Dapuli Rural Circle,0,1,1,1.0
Broke Out On Th April In The Godhra Rural Circle,0,1,1,1.0
Broke Out On Th April In The Town Of Kapadwanj,0,1,1,1.0
Broke Out On The Nd May,0,1,1,1.0
Broke Out On The Th April In Sasseram,0,1,1,1.0
Broke Out On The Th June With Deaths Imported Due To,0,1,1,1.0
Broke Out On The Th October ; There Were Two Seizures (sepoys,0,1,1,1.0
"Broke Out Severely In Narielwadi Village, And There Were Deaths Amongst Small",1,1,1,1.0
Broke Out Suddenly Over A Large Area In,1,1,1,1.0
Broke Out Two Planks In The Walling Of The Cottage No,10,1,1,1.0
Broke Up And A Consequent Fall In Retail Prices Led To An,0,1,1,1.0
Broke Up Floors And Destroyed Rubbish In Infected Houses,1,1,1,1.0
Broken Into Many Pieces And Penetrating To The Brain,90,1,1,1.0
Broken Up And Now Diffused,79,1,1,1.0
Brother States That He Has Never Shown Signs Of Violence,2,1,1,1.0
Brought About,0,2,3,0.666667
Brought About,19,1,3,0.333333
Brought About A Fatal Termination,131,1,1,1.0
Brought About By,168,1,1,1.0
Brought About By Occurrence Of Floods And Inundations,0,1,1,1.0
Brought About By The Anchylostomum Parasite,0,1,1,1.0
Brought About Refinement In The Test Of Significance,0,1,1,1.0
Brought Before Special Medical Committee And Pronounced Sane,9,1,1,1.0
Brought By Train From Tallegaon,0,1,1,1.0
Brought Close To,0,1,1,1.0
Brought Clothes To Thayetmyo,0,1,1,1.0
Brought Down The Temperature To Normal Within Hours,0,1,1,1.0
Brought From Chinchni,82,1,1,1.0
Brought From Nasilk,0,1,1,1.0
"Brought From Some Distance, Semi-comatose Or Entirely Insensible",19,1,1,1.0
Brought In Contact With,7,1,1,1.0
Brought In From The Bazaar And From The Famine Relief Depo Ts,0,2,2,1.0
Brought Into,0,2,6,0.333333
Brought Into,1,2,6,0.333333
Brought Into,4,1,6,0.166667
Brought Into,59,1,6,0.166667
Brought Into Direct Contact With,23,1,1,1.0
Brought Into The Asylum In A Terribly Emaciated Condition,4,1,1,1.0
Brought On By Neglect And Bad Food,28,1,1,1.0
Brought On The Register As An Error From Last Year,0,1,1,1.0
Brought On Very Urgent Symptoms But Did Not Kill,23,1,1,1.0
Brought Out For Exposure,84,1,1,1.0
Brought The Animals To Their Normal Conditions More Rapidly After,0,1,1,1.0
Brought Thence In The Second Week Of August,1,1,1,1.0
Brought Through,43,1,1,1.0
Brought Through Karachi From,11,1,1,1.0
Brought To A Successful Issue,50,1,1,1.0
Brought To For Observation,0,1,1,1.0
Brought To Him,0,1,1,1.0
Brought To My Notice By The Civil Authorities In The Halla District,0,1,1,1.0
Brought To Notice,1,1,1,1.0
Brought To Notice In,0,1,1,1.0
Brought To The Notice Of,5,1,1,1.0
Brought To The Notice Of The Staff,0,1,1,1.0
Brought To The Show Were Not For Sale,0,1,1,1.0
Brought To This Station By,0,1,1,1.0
Brought Under Legislative Control,0,1,1,1.0
Brought Up Before The Magistrate,12,1,1,1.0
Brought Up From The Plains By,114,1,1,1.0
Brought With Him,0,1,1,1.0
Brought With It From Without,70,1,1,1.0
Brown Externally And Internally,0,1,1,1.0
Brucella Reactor Rate,101,1,1,1.0
Buds,18,1,1,1.0
Buffaloes,0,20,27,0.740741
Buffaloes,7,1,27,0.037037
Buffaloes,18,2,27,0.074074
Buffaloes,71,2,27,0.074074
Buffaloes,87,1,27,0.037037
Buffaloes,91,1,27,0.037037
Buffalos Milk Throughout A Lactation,0,1,1,1.0
Building A Cooking-shed For Servants,0,16,31,0.516129
Building A Cooking-shed For Servants,5,10,31,0.322581
Building A Cooking-shed For Servants,10,1,31,0.032258
Building A Cooking-shed For Servants,19,1,31,0.032258
Building A Cooking-shed For Servants,26,1,31,0.032258
Building A Cooking-shed For Servants,27,1,31,0.032258
Building A Cooking-shed For Servants,86,1,31,0.032258
Building And Out-houses Are In A Good State Of Repair,0,9,40,0.225
Building And Out-houses Are In A Good State Of Repair,5,5,40,0.125
Building And Out-houses Are In A Good State Of Repair,17,1,40,0.025
Building And Out-houses Are In A Good State Of Repair,18,1,40,0.025
Building And Out-houses Are In A Good State Of Repair,37,1,40,0.025
Building And Out-houses Are In A Good State Of Repair,65,1,40,0.025
Building And Out-houses Are In A Good State Of Repair,96,2,40,0.05
Building And Out-houses Are In A Good State Of Repair,129,19,40,0.475
Building And Out-houses Are In A Good State Of Repair,150,1,40,0.025
Built And Handed Over By The Public Works Department,96,1,1,1.0
Built At The Sewri Lazaretto,4,1,1,1.0
Built For Menials,32,1,1,1.0
Built Fur -ther From The Lines Than,18,1,1,1.0
Built Huts And Moved To The Camp,1,1,1,1.0
Built Nearly Thirty Years Ago,5,1,1,1.0
Built On A Good Plan,5,1,1,1.0
Built On Land Given By Local Municipality,0,1,1,1.0
Built To Accommodate,3,1,1,1.0
"Built Up Of Series Of Very Short, Relatively Broad Cells",75,1,1,1.0
Bulges Out At Varying Intervals Throughout Its Length,93,1,1,1.0
"Bundles Are Restacked, Trampled, And Pressed",35,1,1,1.0
Bupture Of,0,12,37,0.324324
Bupture Of,4,2,37,0.054054
Bupture Of,10,7,37,0.189189
Bupture Of,22,1,37,0.027027
Bupture Of,31,1,37,0.027027
Bupture Of,35,2,37,0.054054
Bupture Of,52,1,37,0.027027
Bupture Of,56,1,37,0.027027
Bupture Of,62,1,37,0.027027
Bupture Of,66,1,37,0.027027
Bupture Of,79,1,37,0.027027
Bupture Of,90,1,37,0.027027
Bupture Of,109,1,37,0.027027
Bupture Of,127,1,37,0.027027
Bupture Of,148,3,37,0.081081
Bupture Of,172,1,37,0.027027
Burdizzo Clamp,0,1,1,1.0
Burial Depth Requirement,4,1,1,1.0
Burial Or Burning Of Corpses,1,1,2,0.5
Burial Or Burning Of Corpses,46,1,2,0.5
Buried In,5,1,1,1.0
Burma Rice,0,1,1,1.0
Burma Rice Per Man Daily,0,1,1,1.0
Burmah To Madras,4,1,1,1.0
Burned Over The Floors,1,1,1,1.0
Burning Pain Disappears,0,1,1,1.0
Burnt All Over The Floors,46,1,1,1.0
Burrow Backwards,0,1,1,1.0
Burrow Into,0,2,2,1.0
Burrows Into,0,1,1,1.0
Burrows Under,0,1,1,1.0
Burst,10,1,2,0.5
Burst,35,1,2,0.5
Burst From,0,2,2,1.0
Burst The Cell And Are Ready To Enter Other Endothelial Cells And,0,1,1,1.0
Burst Upon,79,1,1,1.0
"Burst, The Patches Seemed To Subside Somewhat And The Breathing Became Less",26,1,1,1.0
Bursting,0,1,1,1.0
Bursts And Liberates,0,1,1,1.0
Bursts From The Red Cell In The Act Of Sporulation,0,1,1,1.0
Bury,42,1,1,1.0
But A Far Higher Total Count,0,1,1,1.0
But If The Antecedents Of Each Such Case Are Thoroughly Investigated,2,1,1,1.0
But It Is More Likely That These Small Flies Act As Mechanical,117,1,1,1.0
But No Cases Occurred In,0,1,1,1.0
But No Cases Were Sent To The Hospitals In Those Towns For,127,1,1,1.0
But Sparingly,176,1,1,1.0
C C I,133,1,1,1.0
C. Deprivation Of Special Senses,166,1,1,1.0
C. OTHERWISE,8,1,1,1.0
C. V,29,2,2,1.0
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",0,63,100,0.63
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",1,2,100,0.02
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",2,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",5,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",6,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",7,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",11,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",16,2,100,0.02
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",17,2,100,0.02
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",23,2,100,0.02
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",38,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",45,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",74,12,100,0.12
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",76,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",90,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",92,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",106,2,100,0.02
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",109,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",131,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",132,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",161,1,100,0.01
"C.C. Of The, Solution, Or An Equivalent Of Somewhat More Than A",175,1,100,0.01
C.c,0,18,19,0.947368
C.c,38,1,19,0.052632
C.c. Of,92,4,4,1.0
Calcareous Bodies Present,22,1,1,1.0
Calculated From The Total Number Of Deaths Upon The Entire Strength,4,1,1,1.0
Calculated On Total Treated,81,1,1,1.0
Calculated To Be About Cubic Feet At Centigrade,0,1,1,1.0
Calcutta,0,21,46,0.456522
Calcutta,1,3,46,0.065217
Calcutta,2,3,46,0.065217
Calcutta,12,1,46,0.021739
Calcutta,13,2,46,0.043478
Calcutta,15,1,46,0.021739
Calcutta,20,1,46,0.021739
Calcutta,49,1,46,0.021739
Calcutta,59,1,46,0.021739
Calcutta,82,10,46,0.217391
Calcutta,110,1,46,0.021739
Calcutta,129,1,46,0.021739
Call For More Accurate Knowledge,0,7,7,1.0
Call The Attention Of,33,1,1,1.0
Called,2,5,9,0.555556
Called,17,2,9,0.222222
Called,43,1,9,0.111111
Called,75,1,9,0.111111
Called Attention To The Fact That Among Of The Governor S Body,0,1,1,1.0
Called Butee And Bijia,14,1,1,1.0
Called Dada Hurri S,151,1,1,1.0
Called In During The Year To Undergo Training As Inspectors,0,1,1,1.0
Called On The Municipal Commissioner And Also Saw The Health Officer,143,1,1,1.0
Called Pink Eye,0,1,1,1.0
Calls The Attention Of,0,1,1,1.0
Calm,2,1,1,1.0
Calomel,0,1,1,1.0
Calomel Given To,0,1,1,1.0
Calve In,0,1,1,1.0
Calved Normally About The Beginning Of,101,1,1,1.0
Came Down To Normal,0,1,1,1.0
Came Forward For,144,1,1,1.0
Came From Ba Ndra,82,1,1,1.0
Came From Bengal And Hold The Bethune Scholarships,2,1,1,1.0
Came From Saugor With Detachments Of The Warwickshire Regiment,61,1,1,1.0
Came In Contact During Grazing,0,1,1,1.0
Came In The Way Of Prompt Action Being Taken In These Houses,1,1,1,1.0
Came Into,1,1,1,1.0
Came Into Existence,0,1,1,1.0
Came Into Existence In,70,1,1,1.0
Came Into Force,134,1,1,1.0
Came Into Operation With Effect From,0,1,1,1.0
Came Last,0,1,1,1.0
Came Next,4,1,1,1.0
Came Next In Order,0,1,1,1.0
Came Off Very Early,1,1,1,1.0
"Came On At All Hours, But More Frequently During The Night Or",0,1,1,1.0
Came On At Night,4,1,1,1.0
Came On Every Night,0,1,1,1.0
Came On Suddenly After,22,1,1,1.0
Came Only When Actually Detected Or When Concealment Became Impossible,1,1,1,1.0
Came To An U L L A H( N A R I,0,1,1,1.0
Came To Hospital In Large Numbers Daily Suffering From This Complaint,5,1,1,1.0
Came To Normal Next Morning,132,1,1,1.0
Came To Shola Pur From Loua Via,1,1,1,1.0
Came To The Lock Hospital Weekly For Inspection,0,1,1,1.0
Came To Wari Bunder Camp,1,1,1,1.0
Came Under Notice,0,2,3,0.666667
Came Under Notice,22,1,3,0.333333
Came Under Observation,0,1,2,0.5
Came Under Observation,89,1,2,0.5
Campaign For,0,1,1,1.0
Can Accommodate,3,1,3,0.333333
Can Accommodate,48,1,3,0.333333
Can Accommodate,96,1,3,0.333333
Can Also Be Differentiated Rom Types And By The Ability Of The,40,1,1,1.0
Can Arise Should Any One Attempt To Pin Down A Loose Vernacular,64,1,1,1.0
Can At Once Extend Itself Over A Wide Area,0,1,1,1.0
Can Be,14,25,27,0.925926
Can Be,15,1,27,0.037037
Can Be,29,1,27,0.037037
Can Be Accurately Ascertained,2,1,1,1.0
Can Be Arrested For,12,1,1,1.0
Can Be Broken Down And Rendered Soluble,0,1,1,1.0
Can Be Carried Out More Effectively And Efficiently,0,1,1,1.0
Can Be Caught Fairly Easily,0,1,1,1.0
Can Be Classed With,27,1,1,1.0
Can Be Clearly Made Out,163,1,1,1.0
Can Be Collected In Large Quantities,17,1,1,1.0
Can Be Completely Extracted From Such Material By Boiling With Dilute Nitric,0,1,1,1.0
Can Be Compressed Simultaneously,49,1,1,1.0
Can Be Confounded With,0,1,1,1.0
Can Be Considered Innocuous,0,1,1,1.0
Can Be Conveniently Kept In Spirituous Solution For Dispensing Purposes,0,1,1,1.0
Can Be Conveyed Extensively By Food Or Drink In Any Community After,0,1,1,1.0
Can Be Detected And Distinguished From,0,1,1,1.0
Can Be Detected By,1,2,2,1.0
Can Be Differentiated Into,62,2,2,1.0
Can Be Directly Mitigated By,0,1,1,1.0
Can Be Distinguished From,0,3,4,0.75
Can Be Distinguished From,27,1,4,0.25
Can Be Done,32,1,1,1.0
Can Be Drawn,62,1,1,1.0
Can Be Easily Maintained By,7,1,1,1.0
Can Be Excluded After,0,1,1,1.0
Can Be Excluded If,0,1,1,1.0
Can Be Expected Only To Lower The Degree Of Infestation And That,0,1,1,1.0
Can Be Felt By The Patient,0,1,1,1.0
Can Be Forced Out,62,1,1,1.0
Can Be Formed From Bilirubin,31,1,1,1.0
Can Be Found In,0,2,2,1.0
Can Be Given Hypodermically For Several Days In Succession Without Proving Fatal,6,1,1,1.0
Can Be Induced By,2,1,1,1.0
Can Be Infected By Feeding Them On,7,1,1,1.0
Can Be Made By,0,1,1,1.0
Can Be Made Good By Applying,0,1,1,1.0
Can Be Made Out In The Body Of,0,1,1,1.0
Can Be Maintained In The Refrigerator For Days Or Longer Without Noticeable,38,1,1,1.0
Can Be Mixed With The Corn And Bran In The Form Of,16,1,1,1.0
Can Be Moved A Little,41,1,1,1.0
Can Be Obtained From,0,3,7,0.428571
Can Be Obtained From,1,4,7,0.571429
Can Be Obtained On Loan From,20,1,1,1.0
Can Be Obtained Shortly Before Or After,16,1,1,1.0
Can Be Of Use If A Large Number Of Samples From Individual,27,1,1,1.0
Can Be Operated By,148,1,1,1.0
Can Be Prepared At Short Notice,0,1,1,1.0
Can Be Propagated By,0,2,2,1.0
Can Be Propagated In,38,1,1,1.0
Can Be Readily Conveyed To Monkeys And Other Animals By,0,1,1,1.0
Can Be Readily Detected Under The Low Power,0,1,1,1.0
Can Be Recognised By,0,1,1,1.0
Can Be Regenerated By,0,1,1,1.0
Can Be Relied On To Clear Away,71,1,1,1.0
Can Be Remarkably Free From Bacterial Impurity,0,1,1,1.0
Can Be Removed Surgically To Convert The Two Openings Into One,56,1,1,1.0
Can Be Satisfactorily Traced To,39,1,1,1.0
Can Be Seen Sometimes With Difficulty On The Whitish Yellow Subcutaneous Tissue,0,1,1,1.0
Can Be Seen Throughout These Areas,0,1,1,1.0
Can Be Segregated,0,1,1,1.0
Can Be Separated From It On Account Of The Dorsal Ray Being,0,1,1,1.0
Can Be Separated From It On Account Of The Externo-lateral Ray Arising,0,1,1,1.0
Can Be Singled Out By The Appearance Of His Eyes Easily From,2,1,1,1.0
Can Be Successfully Vaccinated With Lymph Taken From Children,0,1,1,1.0
Can Be Traced,48,1,1,1.0
Can Be Traced In,39,1,1,1.0
Can Be Treated At One Time,1,1,1,1.0
"Can Be Treated Best In The Ordinary Hospitals, Special Wards Being Set",1,1,1,1.0
Can Be Treated Successfully By Psychical Means,29,1,1,1.0
Can Be Used As,0,1,1,1.0
Can Be Used As An Effective Subs Titute For,0,1,1,1.0
Can Be Used More Extensively Than It Is At Present,0,1,1,1.0
Can Be Used With Confidence On Dams Of Those Levels For Increasing,0,1,1,1.0
Can Be Very Considerably Raised,0,1,1,1.0
Can Be Well Seen With The Aid Of A Magnifying Glass,0,1,1,1.0
Can Become Hot,167,1,1,1.0
Can Cause,23,1,1,1.0
Can Compare With For Safety And Return In Shape Of Vegetables And,0,1,1,1.0
Can Consent To Receive,36,1,1,1.0
Can Correct,0,1,1,1.0
Can Cross,0,1,1,1.0
Can Derive Enough Of These Mineral Nutrients From This Particular Stage Of,0,1,1,1.0
Can Diffuse Itself Through,0,1,1,1.0
Can Digest,2,1,1,1.0
Can Do So Without Any Serious Privation,2,1,1,1.0
"Can Do This Work Quicker, Cost Less, Live Longer",0,1,1,1.0
Can Employ Per Cent Of Its Asylum Population On Industries While In,68,1,1,1.0
Can Enter Into Combination With Only One Kind Of Cell,0,1,1,1.0
"Can Enter Into Competition With Those On The Register, So Long Will",12,1,1,1.0
Can Enter Through A Trilling Lesion In The Skin,0,1,1,1.0
Can Exist And Spread Under A Great Range Of Climatic Conditions,1,1,1,1.0
Can Get Only The Flat,58,1,1,1.0
Can Give Definite Positive Evidence Of,1,1,1,1.0
Can Give Power To Do All Acts,2,1,1,1.0
Can Help Themselves Best,1,1,1,1.0
Can Increase Source Of Infection,0,1,1,1.0
Can Lead To,15,1,1,1.0
Can Live In Other Parts Of The World Besides Africa,0,1,1,1.0
Can Make A Musical Noise,0,1,1,1.0
Can Make Better Utilization Of The Nutrients From,0,1,1,1.0
Can Make Themselves Useful In The Matter Of,11,1,1,1.0
Can Manage,33,1,1,1.0
Can Move In Reverse Manner When Pulling,0,1,1,1.0
Can Neutralise,23,1,1,1.0
Can Occur,72,1,1,1.0
Can Only Act As An Additional Aid In Controlling Outbreaks,24,1,1,1.0
Can Only Be Effected By Removal Of Passengers To Platform And Individual,63,1,1,1.0
Can Only Be Overcome Gradually By,32,1,1,1.0
Can Only Be Received Into An Asylum Under A Special Order Of,9,1,1,1.0
Can Only Be Set Loose By Permission And Sanction Of,9,1,1,1.0
Can Only Be Taken Out Of The Cells Under Charge Of Special,9,1,1,1.0
Can Only Bring About The Same Sequence Of Events In A Shorter,98,1,1,1.0
Can Only Keep It Lower On The Whole And Modify It In,0,1,1,1.0
Can Only Suffice To Stretch The Proximal End Of,62,2,2,1.0
"Can Prevent The Occurrence Of, Or Reduce The Liability To",0,1,1,1.0
Can Raise,0,1,1,1.0
Can Read And Write The First And Second Books,36,1,1,1.0
Can Remain Alive And Virulent For Several Days In,38,1,1,1.0
Can Restore Excitability,0,1,1,1.0
Can Result From,6,1,1,1.0
Can Safely Adopt This Course,1,1,1,1.0
Can Scarcely Be Surpassed,5,1,1,1.0
Can Set Up,38,1,1,1.0
Can Still Further Survive The Effects Of,38,1,1,1.0
Can Suffer From Without Showing Symptoms,0,1,1,1.0
Can Survive,23,1,1,1.0
Can Survive For A Prolonged Period In Glycerine At Room Temperature,38,1,1,1.0
Can Survive It,0,1,1,1.0
Can Survive Larger Doses Introduced Into The Stomach Than Hypodermically,84,1,1,1.0
Can Survive Without Food For,0,1,1,1.0
Can Take Fairly Large Doses Of,92,1,1,1.0
Can Therefore Be Considered As Very Good For Carpet And Rug Manufacture,27,1,1,1.0
Can Understand The Course In,43,1,1,1.0
Can Usually Be Found By A Few Minutes Examination,0,1,1,1.0
Can With Safety Withstand At Least For A Week The Trying Weather,21,1,1,1.0
Can Work And Thrive In Any Country And Climate,0,1,1,1.0
Can Work Regularly For Six Or Seven Hours A Day Without Injury,76,2,2,1.0
Canalisation Of,56,2,2,1.0
Canalisation Of Imperforate Vagina,56,1,1,1.0
Candidates Passed,159,1,1,1.0
Canned With,0,1,1,1.0
Canned Without,0,1,1,1.0
Cannot Be Depended On For More Than Five Days,38,1,1,1.0
Cannot Be Diluted More Than Five Or Ten Thousand Times Without Losing,38,1,1,1.0
Cannot Be Diluted More Than To Times And Still Prove Infective,38,1,1,1.0
Cannot Be Enforced In The Case Of A Widespread Epidemic By The,1,1,1,1.0
Cannot Be Induced Without Admixture,14,1,1,1.0
Cannot Be Kept Out Of The Farm,87,1,1,1.0
Cannot Be Killed In This Way,30,1,1,1.0
Cannot Be Produced By Hemp Alone,14,1,1,1.0
"Cannot Be Said That The Sea Coast, Riparian Areas Or Large Valleys",39,1,1,1.0
Cannot Be Stored At Ordinary Room Temperature For More Than About Six,0,1,1,1.0
Cannot But Recognise The Necessity For A More Comprehensive Treatment Of The,36,1,1,1.0
Cannot Expect To Find It Habitable Until,19,1,1,1.0
Cannot Grow Without Access Of Atmospheric Oxygen,1,1,1,1.0
Cannot Show The Effects Of Vaccination In Keeping Down Small-pox,0,1,1,1.0
Cannot Stand Up To The Semi-starvation Rations Of This Country,0,1,1,1.0
Cannot Survive When Their Parent Neurons Are Destroyed,54,1,1,1.0
Canula Inserted Into,0,1,1,1.0
Cap Entirely Removed Till 8h. M. S.; One Breath Fresh Air,50,1,1,1.0
Cap Re-applied,0,1,1,1.0
Capable Of,0,1,2,0.5
Capable Of,5,1,2,0.5
"Capable Of Accommodating About Fifty Women, Where Medicine, Instruments, And Appliances Are",12,1,1,1.0
Capable Of Combining With,16,2,2,1.0
Capable Of Establishing Itself In The Field,7,1,1,1.0
Capable Of Indefinite Multiplication,0,1,1,1.0
Capable Of Intensification,84,1,1,1.0
Capable Of Neutralising,23,3,3,1.0
Capable Of Producing Any Appreciable Effect Will Produce Symptoms,2,1,1,1.0
Capable Of Rapidly Bringing The Animal Back To Life,98,1,1,1.0
Capable Of Setting Up Inflammatory Changes,0,1,1,1.0
Capable Of Standing,0,1,1,1.0
Capacity At,0,2,8,0.25
Capacity At,44,1,8,0.125
Capacity At,68,5,8,0.625
Capacity Is Taxed,3,1,1,1.0
Capacity Of,9,2,12,0.166667
Capacity Of,10,7,12,0.583333
Capacity Of,36,2,12,0.166667
Capacity Of,68,1,12,0.083333
Capacity Of At Square Feet Per Indian Do,68,1,1,1.0
Capacity Of Each Hut Is,106,1,1,1.0
Capacity Of Ice Plant,106,1,1,1.0
Capacity Of The Tezpur Mental Hospital Is At Superficial,3,1,1,1.0
Capricious,0,1,1,1.0
"Capsule Slightly Adherent, Surface Somewhat Granular, The Posterior Border Presents Numerous Stellate",16,1,1,1.0
Capsules Strip Easily,0,1,1,1.0
Care,2,1,1,1.0
Care Of,0,1,1,1.0
"Care Should Be Taken To Remember That Lbs. Of Spirit, Or Of",55,1,1,1.0
Cared For By,66,1,1,1.0
Carefully Hoed,17,1,1,1.0
Carotid Tured At,0,1,1,1.0
Carpenter S Manual,8,1,1,1.0
Carried A Better Coat Than The Rest,158,1,1,1.0
Carried A Light Load For A Short March,0,1,1,1.0
Carried As Far As Possible,5,1,1,1.0
Carried Away Ponies As Against In The Previous Year,0,1,1,1.0
Carried Backward,54,1,1,1.0
Carried Backward Under The Body,10,1,1,1.0
Carried By The Sepoy And The Transport Coolie,46,1,1,1.0
Carried Off Have Been Subjects Of Incurable Mental Derangement,0,1,1,1.0
Carried Off Nearly Persons,0,1,1,1.0
Carried Off The Majority Of The Fatal Cases,66,1,1,1.0
Carried On Clandestine,22,1,1,1.0
Carried On Only Between Seven And Ten In The Morning And Between,0,1,1,1.0
Carried On Steadily Within Certain Limits,66,1,1,1.0
Carried On The Virus In This Species Have Failed After Three Or,6,1,1,1.0
Carried On To A Great Extent In,12,1,1,1.0
Carried On With A Very Considerable Amount Of Success,46,1,1,1.0
Carried Out After Adding A Drop Of Formalin To Suppress The Development,0,1,1,1.0
Carried Out As Far As Possible,0,1,1,1.0
Carried Out Before Administration,0,1,1,1.0
Carried Out By Public Works Department,129,2,2,1.0
Carried Out By Public Works Department During The Year,129,1,1,1.0
Carried Out By The Public Works Department,17,1,1,1.0
Carried Out During Each Period,0,1,1,1.0
Carried Out Enquiry With,52,1,1,1.0
Carried Out In A Small Portion Of The Poona Area Of The,0,1,1,1.0
Carried Out In A Thorough And Systematic Manner,0,1,1,1.0
Carried Out In Connection With The Johne S Disease Work,36,1,1,1.0
Carried Out Investigation And Research In Outbreaks Of Disease And Where Necessary,24,1,1,1.0
Carried Out Mainly From The Profits Of,118,1,1,1.0
Carried Out Properly,3,1,1,1.0
Carried Out Protective Inoculation Against Anthrax On Six Valuable Equines Belonging To,0,1,1,1.0
Carried Out Regular Examination Of,83,1,1,1.0
Carried Out Regularly In All The Institutions And The Results On The,0,1,1,1.0
Carried Out Strict Segregation Of Sick,1,2,2,1.0
Carried Out The Scheme To A Very Successful Issue,0,1,1,1.0
Carried Out Their Duties As Usual,0,1,1,1.0
Carried Out Trials Upon,83,4,4,1.0
Carried Out Very Careful Investigations,4,1,1,1.0
Carried Out Very Extensively For,0,1,1,1.0
Carried Out Whenever Possible,0,1,1,1.0
Carried Out With Reference To The Therapeutic Effect Of The Drug,0,1,1,1.0
Carried The Germs Of The Disease With Them And Spread It Unsparingly,0,1,1,1.0
Carriers From Malarious Districts And Susceptible People From Healthy Areas Are Mingled,0,1,1,1.0
Carriers Of Infection,1,1,1,1.0
Carries A Vegetation Indicative Of Arid Or Sub-arid Conditions,0,1,1,1.0
Carries Hospital Excreta To A Distance Twice A Day,5,1,1,1.0
Carries On Regular Cultivation In The Districts Of Ahmednagar And Satara,11,1,1,1.0
Carry A Cart-load,76,1,1,1.0
Carry A Portion Of The Empty Parent Filament With Them,79,1,1,1.0
Carry Drainage Eastwards,0,1,1,1.0
Carry Food From Cook-house Into Female Enclosure,0,1,1,1.0
Carry On The Downward Direction Of The Original Root,0,1,1,1.0
Carry Out Orders And Instructions Relative To Treatment Of Sick And Ward,144,1,1,1.0
Carry The Account Through,59,1,1,1.0
Carry The Disease To A Great Distance,0,1,1,1.0
Carry The Disease To Wider Areas,0,1,1,1.0
Carry The Germ To Everyone In The Immediate Surroundings Of The Patient,11,1,1,1.0
Carrying A Doctor And A Disinfecting Stove Are Allowed To Pass Through,1,1,1,1.0
Carrying On Criminal Intimacy With Other Men,14,1,1,1.0
Cartilage Of Ear,67,1,1,1.0
Case,0,1,1,1.0
Case Mortality From,1,1,1,1.0
Case Of,0,1,7,0.142857
Case Of,9,1,7,0.142857
Case Of,26,1,7,0.142857
Case Of,52,1,7,0.142857
Case Of,67,2,7,0.285714
Case Of,92,1,7,0.142857
