relation,topic,count,total,prop,count_global
"Deficiency In A Sheep S Diet Results In A Lighter Fleece, Of",5,1,1,1.0,1.0
Deficiency In Diet,0,1,1,1.0,1.0
Deficient In Girth Measurements,0,1,1,1.0,1.0
Deficient In Quantity And Quality,0,1,1,1.0,1.0
Deficient Self-control And Weakened Intellect,0,1,1,1.0,1.0
Deficit Of In Primary Successes,35,1,1,1.0,1.0
Defines,0,3,3,1.0,3.0
Definitely Better Results Were Got Than Those Obtained Last Year,0,1,1,1.0,1.0
Definitely Failed When Given Intravenously,0,1,1,1.0,1.0
Definitely Found,0,1,1,1.0,1.0
Definitely Lower During The Treated Straw Feeding Period,0,1,1,1.0,1.0
Definitely Superior To The Other Substitutes And Even To Alfalfa Leaf Meal,0,1,1,1.0,1.0
Degenerate And Become Fewer,0,1,1,1.0,1.0
Degeneration,0,1,1,1.0,1.0
Degeneration Of Posterior Columns Of,0,1,1,1.0,1.0
"Degenerative Changes In The Kidney, Liver, Suprarenals, Heart, Muscle And Nervous System",0,1,1,1.0,
Degenerative Changes Take Place In The Seminiferous Tissue Of The Testes In,0,1,1,1.0,1.0
Degree Of,0,1,1,1.0,1.0
Degree Of Protection Afforded By,0,196,215,0.911628,470.0
Degree Of Reaction,0,2,2,1.0,2.0
Delayed Action Of Various Purgative Drugs In,0,1,1,1.0,1.0
Delayed Till,17,1,1,1.0,1.0
Delays,0,1,1,1.0,1.0
Delays Or Completely Prevents,0,1,1,1.0,1.0
Delegating To Local Governments Powers Under The Epidemic Diseases Act,0,1,1,1.0,1.0
Delhi To Umballa,0,1,1,1.0,1.0
"Delhi, Via Ulwar (reached January Th); Bhurtpore (reached February 5th); Dholpur (reached",12,1,1,1.0,
Deliver Liis Passport To The Passport-examining Officer,0,1,1,1.0,1.0
Deliver Straight From The Tub Without Passing Through,0,1,1,1.0,1.0
Deliver Up His Passport To The Local Authority Of The Place Where,0,1,1,1.0,2.0
Delivered And The Usual Propaganda Work Was Done By The Staff,0,1,1,1.0,1.0
Delivered By A Lecturer Of This College,0,1,1,1.0,1.0
Delivered By The Belgian Consular Agent,0,1,1,1.0,1.0
Delivered By The Staff,0,1,1,1.0,1.0
Delivered By The Subordinate Staff Of The Department At The Same Time,0,1,1,1.0,1.0
Delivered Educative Lectures,0,2,2,1.0,2.0
Delivered Lectures In,0,1,1,1.0,1.0
Delivered Lectures On,0,6,6,1.0,12.0
Delivered Lectures To,0,1,1,1.0,1.0
Delivered Material To Dr. Lingard S Assistant At,19,1,1,1.0,1.0
Delivered The 1st Course To,0,1,1,1.0,
Delivered To The Outgoing Students Of The Second Department,0,1,1,1.0,1.0
Delivered To The Traveller,0,1,1,1.0,1.0
Delivery By Turning,0,1,1,1.0,1.0
Delusional,0,1,1,1.0,1.0
Demand,0,2,2,1.0,2.0
Demand Fell Considerably,15,1,1,1.0,1.0
Demand For,0,2,2,1.0,2.0
Demand Increased By,0,1,1,1.0,1.0
Demand Is Very Great Indeed,1,1,1,1.0,1.0
Demand More Than A Soldier Can Give,57,1,1,1.0,1.0
Demanding Bacteriological Investigation,0,1,1,1.0,1.0
Demands Much Time And Patience,10,1,1,1.0,1.0
Demented Brain,0,1,1,1.0,1.0
Dementia,0,1,1,1.0,1.0
Dementia Including Acquired Imbecility,0,1,1,1.0,1.0
Demonstrate The Fact That Bhunghis Must Have Been Scarce At Bija Pur,0,1,1,1.0,1.0
Demonstrated,0,4,4,1.0,9.0
Demonstrated A Left Shift,0,1,1,1.0,1.0
Demonstrated In Chart Of The Same Appendix,0,1,1,1.0,1.0
Demonstrated Presence Of,0,1,1,1.0,1.0
Demonstrated Presence Of Larvæ,0,1,1,1.0,1.0
Demonstrated Wrong,16,1,1,1.0,1.0
Demonstrates Delay Both In Reduction And Recovery Of Respiratory Property In Hæmoglobin,26,1,1,1.0,
Demonstrates The Cases Attending The Out-patients Department And The Patients In The,0,1,1,1.0,
Demonstration At The All-union Agricultural Show Of Result Of Applying Artificial Insemination,0,48,60,0.8,
Demonstrations,0,1,1,1.0,1.0
Demonstrations Of,0,1,1,1.0,1.0
Demoralises,0,1,1,1.0,1.0
Demoralises Character,0,1,1,1.0,1.0
Dengue,6,1,1,1.0,1.0
Denied By The Men,0,1,1,1.0,1.0
Denoted By,0,3,3,1.0,4.0
Denotes Case Of,0,1,1,1.0,1.0
Denotes Poor Storage Quality,0,1,1,1.0,1.0
Denotes Survivals,0,1,1,1.0,1.0
Dense Yellowish Brown Hairs On The General Surface Of The Abdomen,0,1,1,1.0,1.0
Densely Adherent To The Sides Of The Vessel,0,1,1,1.0,1.0
Density Of The Suspension Is Very Important,0,1,1,1.0,1.0
Deny Ever Having Eaten Fish,0,2,2,1.0,2.0
Deodorant Power Is Said To Be Satisfactory,0,1,1,1.0,1.0
Depart From Normal To Any Extent Which Would Constitute An Argument Against,0,1,1,1.0,1.0
Department Was Placed Directly Under The Control Of Government,0,81,88,0.920455,188.0
Depend For Their Fermentative Faculty On The Presence Of More Or Less,0,1,1,1.0,1.0
Depend Upon The Way The Mechanical Filters Are Worked,0,1,1,1.0,1.0
Dependent On The Presence In,0,1,1,1.0,1.0
Dependent Upon,0,1,1,1.0,6.0
Dependent Upon Its Immediate Use In The Early Stages,0,1,1,1.0,1.0
Dependent Upon The Presence Of,0,3,3,1.0,3.0
Depending On Local Contact With,0,1,1,1.0,1.0
Depends,0,1,1,1.0,1.0
Depends On Anchylostomiasis,19,1,1,1.0,1.0
Depends On Certain Conditions,0,1,1,1.0,1.0
Depends On Merely Local Causes,0,1,1,1.0,1.0
Depends On The Addition Of Glycerol To The Diluent,0,1,1,1.0,1.0
Depends On The Presence Of Such A Condition Ante- Cedent To The,0,1,1,1.0,1.0
Depends On The Vigilance Of The Town Police,0,1,1,1.0,1.0
Depletion Of,0,1,1,1.0,1.0
Deposit In Their Casts,0,1,1,1.0,1.0
Deposited After The Solution Had Been Standing For Or Days,0,1,1,1.0,1.0
Deposited By,1,1,1,1.0,1.0
Deposited With,0,1,1,1.0,1.0
Deposition In The Bones Is Independent Of The Amount Ingested In The,0,1,1,1.0,1.0
Deposition On,5,1,1,1.0,1.0
Deposits In,0,4,4,1.0,4.0
Deposits The Living Larvæ Either On Or Under The Skin Of,0,1,1,1.0,1.0
Depot,0,1,1,1.0,2.0
Depot At,0,1,1,1.0,1.0
Depot Established At,0,8,8,1.0,9.0
Depravity From Any Cause,0,1,1,1.0,1.0
Depressed,0,3,3,1.0,4.0
Depresses,0,4,4,1.0,4.0
Depresses Ascent Of Fat,0,3,3,1.0,3.0
Depresses The Heart,0,1,1,1.0,1.0
Depression In,0,1,1,1.0,1.0
Depression Of The Whole System,0,1,1,1.0,1.0
Depressive,0,1,1,1.0,1.0
Deprived Of,0,1,1,1.0,3.0
Deprived Of Their Reason,0,1,1,1.0,1.0
Depth Description,0,1,1,1.0,1.0
Depth Of,0,17,17,1.0,18.0
Deputed For Service With The Tirah Field Force,0,1,1,1.0,1.0
Deputed Temporarily To,0,1,1,1.0,1.0
Deputed To Collect,0,1,1,1.0,1.0
Deputed To Obtain A Plan Of Veterinary Vaccine Section Buildings For Assam,0,1,1,1.0,1.0
Deputed To This College By The State During Last Year To He,0,1,1,1.0,1.0
Deputed To Undergo Post Graduate Training At,0,1,1,1.0,1.0
Deputy Inspectors Of Vaccination Died,0,1,1,1.0,1.0
Deputy Superintendent Has Been Fined A Month S Pay For Neglect Of,0,41,42,0.97619,84.0
Deranged,0,1,1,1.0,1.0
Derivative Of,0,1,1,1.0,1.0
Derived From,0,37,37,1.0,59.0
Derived From A Case Of,0,2,2,1.0,2.0
Derived From A Common Source,0,1,1,1.0,1.0
Derived From A Well In The Vicinity Of The Hospital,0,1,1,1.0,1.0
Derived From Pure Cultures Perishes Within Thirteen Days After Being Added To,0,1,1,1.0,1.0
Derived From The Original Larvà,0,1,1,1.0,1.0
Derived Mainly From,0,1,1,1.0,1.0
Descend To,0,1,1,1.0,1.0
Describe The Urine As Containing Hæmoglobin In Three Out Of Six Naturally,0,1,1,1.0,1.0
Described A Case Of,0,1,1,1.0,1.0
Described A Few Forms From Ceylon,0,1,1,1.0,1.0
Described And Figured,0,1,1,1.0,1.0
Described As China-white Nodules,0,1,1,1.0,1.0
Described As Sudden,0,1,1,1.0,1.0
Described As Wavy And Stout,0,100,115,0.869565,160.0
Described By Dr. King,0,1,1,1.0,1.0
Described By Hayem,0,1,1,1.0,1.0
Described By Koch,0,1,1,1.0,1.0
Described By Ponfick And Hunter To Result In,0,1,1,1.0,1.0
Described From The Intestine Of Pigs In Calcutta Which He Regarded As,0,1,1,1.0,1.0
Described In Dogs And Rabbits Fed On A Known Vitamin-a Deficient Diet,0,1,1,1.0,1.0
Described In This Paper,0,1,1,1.0,1.0
Described Schistosoma Suis (S. Incognitum) And S. Nasalis,0,1,1,1.0,1.0
Described_as,0,1,1,1.0,1.0
Describes A Variety Of Trap Rock,0,1,1,1.0,1.0
Describes Action Quality,0,1,1,1.0,1.0
Describes State Of,0,2,2,1.0,2.0
Describes Storms Of Wind And Rain In March,0,1,1,1.0,1.0
Describes The Grinding Process Of,0,1,1,1.0,1.0
Describes The Perianth,1,1,1,1.0,1.0
Describes The Process Of,0,2,2,1.0,3.0
Describes Type Of Dementia,0,1,1,1.0,1.0
Describes Variety Of,11,3,3,1.0,3.0
Description Of,0,372,439,0.84738,815.0
Description Of Cask Top,0,1,1,1.0,1.0
Description Of Casks,0,1,1,1.0,1.0
Description Of Casualty,0,2,3,0.666667,3.0
Description Of Cuticular Portion,0,1,1,1.0,1.0
Description Of Height,0,1,1,1.0,1.0
Description Of Hump,0,1,1,1.0,1.0
Description Of Loins,0,2,2,1.0,2.0
Description Of Mangrove Swamp,0,1,1,1.0,1.0
Description Of Privy Floor Level,0,1,1,1.0,1.0
Description Of Siri Cows And Bullocks,0,1,1,1.0,1.0
Description Of Tail,0,1,1,1.0,1.0
Description Of Two New Species,0,53,55,0.963636,71.0
Descriptions Of Malta And Cyprus,0,1,1,1.0,1.0
Deserve Credit For The Success Which They Have Attained In Popularising The,0,2,2,1.0,2.0
Deserves Praise,0,1,1,1.0,1.0
Deserves Special Mention,0,2,2,1.0,2.0
Designation For Tumour,0,1,1,1.0,1.0
Desire To Consume A Good Quantity,0,1,1,1.0,2.0
Desired To Point Out The Woman In The Chakla With Whom They,0,1,1,1.0,1.0
Desirous To Remove Such From An Asylum,3,1,1,1.0,1.0
Desist From Plying Until Such Time As May Be Stated In A,0,1,1,1.0,1.0
Despatched From,0,1,1,1.0,4.0
Despatched From The Nasik Camp To Peshawar,33,1,1,1.0,1.0
Despatched On,0,1,1,1.0,1.0
Despatched To,0,3,3,1.0,6.0
Despatched To Europe,3,1,1,1.0,1.0
Despatched Under Merchant Shipping Act,0,1,1,1.0,1.0
Desposed Of,4,1,1,1.0,1.0
Destroy In The Maggot Stage,0,1,1,1.0,1.0
Destroy Virility,0,1,1,1.0,1.0
Destroyed And Compensation Paid,0,1,1,1.0,1.0
Destroyed And Inco-ordination Results,0,1,1,1.0,1.0
Destroyed At A Temperature Of C In Minutes,0,1,1,1.0,1.0
Destroyed By Drowning In A Sunken Chatti Covered With Dough,0,1,1,1.0,1.0
Destroyed By Drying At C,0,2,2,1.0,2.0
Destroyed By Drying The Manure At C. For Hours,0,1,1,1.0,1.0
Destroyed By Natural Heat Except In,0,1,1,1.0,1.0
Destroyed For Examination Of Their Brains By The Pasteur Institute At Kasauli,0,1,1,1.0,1.0
Destroyed In Karachi,0,1,1,1.0,1.0
Destroyed In Upper Sind Frontier And Sukkur Districts,0,1,1,1.0,1.0
Destroyed Nearly Twice As Many Human Lives As Were Destroyed By All,0,1,1,1.0,1.0
Destroyed On,0,5,5,1.0,5.0
Destroyed With Kerosine And Crude Petroleum,0,1,1,1.0,1.0
Destroys The Parasite,0,1,1,1.0,1.0
Destroys Tissue At The Seat Of Injection,0,1,1,1.0,1.0
Destroys Vitamin A And Carotene B Quickly,0,1,1,1.0,1.0
Destruction Of,0,171,193,0.88601,312.0
Destruction Of Corpus Luteum Tissue By Cystic Invasion Or Its Degeneration Due,27,1,1,1.0,1.0
Destructive Of Clothing Are To Wear Only A Long Tunic,12,1,1,1.0,1.0
Detach -able With Difficulty From,0,1,1,1.0,1.0
Detached At The Nearest Convenient Station,0,1,1,1.0,1.0
Detached From A Train,0,1,1,1.0,1.0
Detached Processes From Epispore,0,1,1,1.0,1.0
Detailed For Post Diploma Course In,0,2,2,1.0,2.0
Detailed For Remount Depots,0,1,1,1.0,1.0
Detailed_description,0,3,3,1.0,3.0
Detailed_description Of Examination Method,0,1,1,1.0,1.0
Detailed_description_of,0,1,1,1.0,1.0
Detain,0,2,2,1.0,3.0
Detained For Not Less Than Seven Days,0,1,1,1.0,1.0
Detains Suspicious Persons From,0,1,1,1.0,1.0
Detected Among,10,1,1,1.0,1.0
Detected Amongst,0,1,1,1.0,3.0
Detected And Prevented From Entering The Town,0,1,1,1.0,1.0
"Detected And Removed To The Government Lazaretto, As Suspicious Cases",0,1,1,1.0,1.0
Detected And Treated With Satisfactory Results,0,2,2,1.0,2.0
Detected And Were Awaiting Trial In One Large Station,0,1,1,1.0,1.0
Detected At,0,2,2,1.0,3.0
Detected By,0,10,11,0.909091,16.0
"Detected By The Chemical Examiner, Bengal",38,1,1,1.0,1.0
Detected During The Period,0,1,1,1.0,1.0
Detected Focal Infiltration With Epithelioid Cells,0,1,1,1.0,1.0
Detected Hard And Calcified Nodules,0,1,1,1.0,1.0
Detected Here Out Of,0,1,1,1.0,1.0
Detected In,0,43,43,1.0,95.0
Detected In France,5,1,1,1.0,1.0
Detected In Fæces During,0,1,1,1.0,1.0
Detected In Relation To,0,2,2,1.0,2.0
Detected In The First Quarter Of The Year,0,1,1,1.0,1.0
Detected In Two Or Three Separate Parts Of The Field,0,1,1,1.0,1.0
Detected Inside,0,1,1,1.0,1.0
Detected On,0,1,1,1.0,10.0
Detected On The,0,1,1,1.0,1.0
Detected Practice Of Sending Medicines To Relatives Far Away From The Dispensary,4,1,1,1.0,1.0
Detected With,0,2,2,1.0,4.0
Detection Of,0,2,2,1.0,4.0
Detects,0,3,3,1.0,9.0
Detects Adulteration,0,1,1,1.0,1.0
Detergent,0,1,1,1.0,1.0
Deteriorated,0,1,2,0.5,4.0
Deteriorates In Storage,0,1,1,1.0,1.0
Deteriorates The System Both Mentally And Physically,0,1,1,1.0,1.0
Deteriorates Very Rapidly In Hot Weather,0,1,1,1.0,1.0
Determine,0,1,1,1.0,1.0
Determine Their Quality,0,1,1,1.0,2.0
Determined Accurately,0,1,1,1.0,1.0
Determined At Each Stage,0,1,1,1.0,1.0
Determined By Titration Against Sodium Hydroxide With Phenolpthalein As Indicator,0,1,1,1.0,
Determined To Contain,0,1,1,1.0,1.0
Determines,0,3,3,1.0,5.0
Determines The Amount Of,0,1,1,1.0,1.0
Determining Complication,0,1,1,1.0,1.0
Determining Factor In,0,1,1,1.0,1.0
Determining Influence On Character-formation Of A People,0,1,1,1.0,1.0
"Determining The Action To Be Taken By All Executive Authorities, Whether Official",0,1,1,1.0,
Deterrent Effect Produced On,0,1,1,1.0,1.0
Devastated,0,1,1,1.0,1.0
Devastated Several Districts Of Lower Bengal In The Sixties And Early Seventies,0,1,1,1.0,1.0
Develop As Readily In,0,1,1,1.0,1.0
Develop Defects As They Grow Up,0,1,1,1.0,1.0
Develop In Cuttack,0,1,1,1.0,1.0
Develop In Dew-drop-like Colonies Which Coalesce To Form A Feebly Shining Film,0,1,1,1.0,1.0
Develop In Great Numbers In,0,1,1,1.0,1.0
Develop Into Adults In,0,1,1,1.0,1.0
Develop Into Larvæ,0,1,1,1.0,1.0
Develop Into The Young Parasitic Animals In The Red Blood Cells Exactly,0,1,1,1.0,1.0
Develop Lower Acidity Than,0,1,1,1.0,1.0
Develop More Rapidly In A Stove Regulated To,0,1,1,1.0,1.0
Develop Pink Colour With,0,1,1,1.0,1.0
Develop Pink Colour Within Thirty Minutes Owing To The Reduction Of Tetrazolium,0,1,1,1.0,1.0
Develop Splints,0,1,1,1.0,1.0
Develop Well At The Ordinary Temperature Of The Laboratory,0,1,1,1.0,1.0
Develop When Climatic Conditions Are Adverse,0,1,1,1.0,1.0
Developed A Bubo On The Th And Died In Her House On,0,1,1,1.0,1.0
Developed A Local Swelling From The Original Inoculation,0,1,1,1.0,1.0
Developed A Positive Reaction Within To Minutes,0,1,1,1.0,1.0
Developed A Slight But Undoubted,0,1,1,1.0,1.0
Developed Anaemic Changes With The Presence Of P. Gibsoni In Its Blood,0,1,1,1.0,1.0
Developed At The Bases And Pinnae Of The Ears And On One,0,1,1,1.0,1.0
Developed At The Seat Of Application Of The Infective Material,0,1,1,1.0,1.0
Developed Consequent Upon Great Weakness And Depression Which Is Felt During Convalescence,0,1,1,1.0,
Developed Considerably During The Year Under Review,7,1,1,1.0,1.0
Developed In Addition To Localisation Over,0,1,1,1.0,1.0
Developed In Control Group,0,1,1,1.0,1.0
Developed In July,0,1,1,1.0,1.0
Developed In Observation Cases,0,2,2,1.0,2.0
Developed In September,0,1,1,1.0,1.0
Developed In Six Days And Lasted Nine During Seven Of Which Fever,0,1,1,1.0,1.0
Developed Into Minute Pustules With Pellucid Summits,0,1,1,1.0,1.0
Developed Or Has Been Developed Before Her Arrival,0,1,1,1.0,1.0
Developed Paraplegia At,0,2,2,1.0,2.0
Developed Pyrexia At,0,1,1,1.0,1.0
Developed Quite Rapidly During The Winter Season And Inflicted Heavy Loss Specially,0,1,1,1.0,
Developed Signs Of,0,1,1,1.0,2.0
Developed Signs Of Paraplegia,0,1,1,1.0,1.0
Developed Since Admission To The Goal,0,1,1,1.0,1.0
Developed Subepidermally Also,0,1,1,1.0,1.0
Developed Subsequently In Control Group,0,1,1,1.0,1.0
Developed Symptoms Of Wild Excitement,0,1,1,1.0,1.0
Developed Tetanus On The Second Day And Died On The Fourth Day,0,1,1,1.0,1.0
Developed To A High Level,0,1,1,1.0,1.0
Developed Tremor And Paralysis On,0,1,1,1.0,1.0
Developed Typical Nymphomanic Characters,0,1,1,1.0,1.0
Developed Variola And Were Transferred To,0,1,1,1.0,1.0
Development In The Environment,0,1,1,1.0,1.0
Development Of The Leishman-donovan Body,3,1,1,1.0,1.0
Development Was Very Slow And Confined Solely To The Surface Of The,0,1,1,1.0,1.0
Develops A Faint Fawn Colour After,0,1,1,1.0,1.0
Develops And Multiplies At The Cost Of,0,1,1,1.0,1.0
Develops Fairly Rapidly,0,1,1,1.0,1.0
Develops Later Accompanied With Much Pain,0,1,1,1.0,1.0
Develops Rapidly In,0,1,1,1.0,1.0
Develops Tallowy Smell With Storage,0,1,1,1.0,1.0
Develops The Condition Called,0,1,1,1.0,1.0
Develops Two Processes At One End Which Cross Each Other,0,1,1,1.0,1.0
Develops With Relatively Low Amounts Of,0,1,1,1.0,1.0
Deviation Of Complement By,0,1,1,1.0,1.0
Deviced By Hauser,37,1,1,1.0,1.0
Devised By Major W. F. Harvey,0,1,1,1.0,1.0
Devote More Attention To,0,1,1,1.0,1.0
Devotedly Attached To The Profession Of Their Parents,0,1,1,1.0,1.0
Devotes The Whole Of His Time To,0,1,1,1.0,1.0
"Dewan Of Puhlunpoor, At Rs. Each Per Mensem",1,1,1,1.0,1.0
Diagnosis Of Epilepsy Is Accepted,0,1,1,1.0,1.0
Dibbled In With A Stick,0,1,1,1.0,1.0
Did,0,2,3,0.666667,6.0
Did A Course On Laboratory Organisation And Technique,0,1,1,1.0,1.0
Did Badly In All The Examinations,0,1,1,1.0,1.0
Did Commendable Work During The Year,0,6,6,1.0,6.0
Did Have A Small Protective Action On Other Ghee Samples,11,1,1,1.0,1.0
Did Lower The Keeping Quality Of Hydrogenated Fat To Some Extent After,11,1,1,1.0,1.0
Did Mischief,0,1,1,1.0,1.0
Did Not Affect The Number Of Cattle Showing Positive Blood Smears,0,1,1,1.0,1.0
Did Not Appear To Have The Same Standing Among The People When,0,1,1,1.0,1.0
Did Not Attempt To Prevent Entering Of Persons From Infected Places,0,1,1,1.0,1.0
Did Not Begin To Fail Till After,0,1,1,1.0,1.0
Did Not Cause This Phenomenon Even In A Dilution As Low As,0,1,1,1.0,1.0
Did Not Come On Heat,0,1,1,1.0,1.0
Did Not Constitute More Than Per Cent Of The Total Vitamin-a Potency,0,1,1,1.0,1.0
Did Not Contain Any Ghee At All Or Were Grossly Adulterated,0,1,1,1.0,1.0
Did Not Contract The Disease From Same Water Source As Ponies,0,1,1,1.0,1.0
Did Not Develop An Isolysin Against Sheep Rb,0,1,1,1.0,1.0
Did Not Die Till The Fourteenth Day After Being Bitten,0,1,1,1.0,1.0
"Did Not Differ From Generation To Generation In Any Flock, Nor Was",5,1,1,1.0,1.0
Did Not Disappear Until,0,1,1,1.0,1.0
Did Not Drink,0,1,1,1.0,1.0
Did Not Express An Opinion One Way Or The Other,0,1,1,1.0,1.0
Did Not Generally Prevail,0,2,2,1.0,2.0
Did Not Get Their Full Share,0,1,1,1.0,1.0
Did Not Increase The Virulence,0,1,1,1.0,1.0
Did Not Keep Pace With The Spread Of The Disease,0,1,1,1.0,1.0
Did Not Know Of,0,1,1,1.0,1.0
Did Not Lie Down In The Night,0,1,1,1.0,1.0
Did Not Maintain The Exceptional State Of Purity As Regards Excremental Germs,0,1,1,1.0,1.0
Did Not Occur Save In Two Very Small Outbreaks,0,1,1,1.0,1.0
Did Not Occur To The Same Extent As In The Preceding Two,0,1,1,1.0,1.0
Did Not Prevail Epidemically,0,1,1,1.0,2.0
Did Not Prevail Extensively Or Severely,0,1,1,1.0,1.0
Did Not Prevail Greatly,0,1,1,1.0,1.0
Did Not Prevail To Any Great Extent,0,1,1,1.0,1.0
Did Not Produce Any Untoward Symptoms When Fed To The Goat,0,1,1,1.0,1.0
Did Not Return On The Th,0,1,1,1.0,1.0
Did Not Return To Its Original Virulence Following,0,1,1,1.0,1.0
Did Not Revive The Heart,0,1,1,1.0,1.0
Did Not Show Any Improvement Over,0,1,1,1.0,1.0
Did Not Significantly Improve,8,1,1,1.0,1.0
Did Not Survive To The Exclusion Of Other Organisms,0,1,1,1.0,1.0
Did Not Swell The Sick List,0,1,1,1.0,1.0
Did Not Take Quinine Regularly,52,63,96,0.65625,130.0
Did Not Thrive,0,1,1,1.0,1.0
Did Not Work Satisfactorily During The Year,0,1,1,1.0,1.0
Did Propaganda Work In Connexion With,0,1,1,1.0,1.0
Did So Early And Certainly,0,1,1,1.0,1.0
Did Take Its Origin From The Spread Of This Intensified Rungpore Fever,0,1,1,1.0,1.0
Did The Duties Of The Assistant Professor From That Date Till,0,1,1,1.0,1.0
Did The Duties Of The Professor Of Surgery From,0,1,1,1.0,1.0
Did The Work Of Nagpur Division As Usual,0,1,1,1.0,1.0
Did The Work Which Gives Them Their Name,0,1,1,1.0,1.0
Did Tolorably Well,1,1,1,1.0,1.0
Did Very Little Mischief There,0,1,1,1.0,1.0
Did Very Well With,0,2,2,1.0,2.0
Did Well,19,1,1,1.0,2.0
Did Well At Both The Examinations,0,1,1,1.0,1.0
Did Well For,17,1,1,1.0,1.0
Die At A Distance Of Miles From The Railway,0,1,1,1.0,1.0
Die Due To Lack Of Oxygen,0,1,1,1.0,1.0
Die Much More Rapidly From Anchylostomiasis Than An Originally Healthy Subject,0,1,1,1.0,1.0
Died After A Period Of And Days Respectively From The Date Of,29,2,2,1.0,2.0
Died After Inoculation,0,15,15,1.0,17.0
Died After Inoculation With Blood,0,1,1,1.0,1.0
Died After Similar Inoculations,0,1,1,1.0,1.0
Died After Vaccination With,0,2,2,1.0,2.0
Died And Destroyed During The Year,0,1,1,1.0,1.0
Died And The Other Recovered,0,1,1,1.0,1.0
Died And The Other Was Rendered Very Ill By The Inoculation With,0,1,1,1.0,1.0
Died As A Result Of Inoculation,0,1,1,1.0,1.0
Died As The Result Of Inoculation With The Strong Virus,0,1,1,1.0,1.0
"Died At A Period Of Very Intense Infection, Hæmoglobinuria Was Present",0,1,1,1.0,1.0
Died Before,0,15,15,1.0,18.0
Died Before Inoculation,0,9,9,1.0,15.0
Died Before The Inoculation,0,1,1,1.0,1.0
Died Before The Inoculations,0,1,1,1.0,1.0
Died Before The Test Was Undertaken,0,1,1,1.0,1.0
Died Days After Admission In The Hospital,0,1,1,1.0,1.0
Died Days After Subcutaneous Inoculation,0,1,1,1.0,1.0
Died Down In,0,1,1,1.0,1.0
Died Due To Debility While Under Treatment,0,1,1,1.0,1.0
Died During The Course Of Outbreaks,0,1,1,1.0,1.0
Died During The Course Of The Outbreak,0,1,1,1.0,1.0
Died During The Year,3,3,6,0.5,9.0
Died Either Before The Death Of The Rats Or That Both The,0,1,1,1.0,1.0
Died From All Causes,0,2,2,1.0,2.0
Died From Anæmia; His Was A Most Aggravated Case Of Secret Vice,0,1,1,1.0,1.0
Died From Dropsy After Years Residence,0,1,1,1.0,1.0
Died From General Debility After An Attack Of Fever,1,1,1,1.0,1.0
Died From Inoculation With The Second Vaccine,0,1,1,1.0,1.0
"Died From Kamri, Paralysis",0,1,1,1.0,1.0
Died From Overdose Of,0,1,1,1.0,1.0
Died From Softening Of The Brain And Infiltration From A Diseased Petrous,1,1,1,1.0,1.0
Died From The Effects Of Inoculation,0,3,3,1.0,3.0
Died From Tympanitis During The Course Of Treatment,0,1,1,1.0,1.0
Died In An Average Of Days,0,1,1,1.0,1.0
Died In An Equally Short Time,0,1,1,1.0,1.0
Died In Convulsions,0,1,1,1.0,1.0
Died In Hospital,0,1,1,1.0,3.0
"Died In March, But All The Others Succumbed During August, September And",0,1,1,1.0,1.0
"Died In One To Seventeen Days After Hatching, And An Organism Culturally",0,1,1,1.0,1.0
Died In Ra Walpindi During The Year,0,1,1,1.0,1.0
Died In Somewhat Higher Proportion To Strength,0,1,1,1.0,1.0
Died In The Night With,0,1,1,1.0,1.0
Died In The Whole District,0,2,2,1.0,2.0
Died Of Charbon After Inoculation With The Strong Virus,0,1,1,1.0,1.0
Died Of Epilepsy,0,1,1,1.0,1.0
Died Of Experimental Infection,0,1,1,1.0,1.0
Died Of Generalised Tuberculosis At Varying Periods (to Days,0,1,1,1.0,
Died Of Inoculation With The Strong Virus,0,1,1,1.0,1.0
Died Of Severe Generalised Tuberculosis,0,1,1,1.0,1.0
Died Of This Disease During The Year,0,1,1,1.0,1.0
Died Of This Disease In The Preceding Year,0,1,1,1.0,1.0
Died Of Tuberculosis At Periods Varying From To Days,0,1,1,1.0,1.0
"Died On July Th, With Symptoms Of Salivation, Wasting, And Multiple Subcutaneous",0,1,1,1.0,1.0
Died On The 3rd Or 4th Day,0,1,1,1.0,1.0
Died On The 6th Day Peritonitis,0,101,139,0.726619,304.0
Died On The Next Day Due To Heavy Infection,0,1,1,1.0,1.0
Died On The Regimental Parade Ground,0,1,1,1.0,1.0
Died Or Were Destroyed,0,2,2,1.0,2.0
Died Or Were Destroyed For,0,1,1,1.0,1.0
Died Out Of Attacked In Outbreaks,0,1,1,1.0,1.0
Died Out Of Fifteen Cases Treated In The,0,1,1,1.0,1.0
Died Out Of Horses And Donkeys,0,2,2,1.0,2.0
Died Out Of Hospital When On Furlough,0,1,1,1.0,1.0
Died Out Within To Days,0,1,1,1.0,1.0
Died Over A Month After The Inoculation Of The Second Dose Of,0,1,1,1.0,1.0
Died Previous To Inoculation,0,1,1,1.0,1.0
Died Some Weeks After The Completion Of Treatment From Injuries Received By,0,1,1,1.0,1.0
Died The Day Previous To The Arrival Of The Sick Woman,0,1,1,1.0,1.0
Died The Next Day,0,1,1,1.0,3.0
Died Un-inoculated In Course Of Outbreak,0,1,1,1.0,1.0
Died Unincoulated In Course Of Outbreak,0,3,3,1.0,3.0
Died Uninoculated During,0,2,2,1.0,2.0
Died Uninoculated In,0,1,1,1.0,1.0
